doctor_name,specialization,experience_years,clinic,city,rating,reviews_count,profile_url
Огай Виктория Олеговна,Врач УЗИ,,"ТОО ""Центр молекулярной медицины""",Алматы,0,0,https://doctor.kz/doctors/601445861695982926
Мачнов Игорь Владимирович,Врач функциональной диагностики • Невропатолог/ Невролог,,"Медицинский центр ""PREMIUM CLINIC"" на Дулати",Шымкент,0,0,https://doctor.kz/doctors/614347941701265876
Ильясов Дастан Уәлиханұлы,Врач КТ,,"Медицинский центр ""КЕРУЕН MEDICUS""",Алматы,0,0,https://doctor.kz/doctors/569700981695026338
Бахытова Нұргүл Бауыржанқызы,Невропатолог/ Невролог,,Городская клиническая больница №1,Алматы,0,0,https://doctor.kz/doctors/157677191698398132
Сулейменова Лаура Сериковна,Стоматолог • Стоматолог-ортодонт,,"Стоматологическая клиника ""КЛАССИК-АР""",Алматы,0,0,https://doctor.kz/doctors/615834241695727917
Шагиева Гульзат Абдулаевна,Гастроэнтеролог • Терапевт,,"Медицинский центр ""PREMIUM CLINIC"" на Дулати",Шымкент,0,0,https://doctor.kz/doctors/262913681701259450
Лившиц Нина Викторовна,Врач УЗИ,,Институт репродуктивной медицины на Толе би,Алматы,0,0,https://doctor.kz/doctors/477809951481177706
Вдовцев Вадим Юрьевич,Андролог • Уролог,,"Клиника мужского здоровья ""UROPRO""",Алматы,0,0,https://doctor.kz/doctors/937004691509697322
Ибраимова Дилнур Шухратовна,Стоматолог • Стоматолог детский,,"Стоматологическая клиника ""WHITESTORY by KIDS SMILE"" на Азербаева",Алматы,0,0,https://doctor.kz/doctors/144798431501128355
Райн Анна Владимировна,Врач УЗИ,,"Клиника ""КРИСТИНА""",Караганда,0,0,https://doctor.kz/doctors/19024721642678285
Сулейменов Ерлан Талгатович,Врач УЗИ • Сосудистый хирург • Хирург,,"Клиника ""ДОСТАР МЕД СЕРВИС"" в Алмагуле",Алматы,5,7,https://doctor.kz/doctors/424730061509698042
Жаймырзаева Гүлбану Әзімханқызы,Гинеколог,,"Медицинский центр ""SMART HEALTH UNIVERSITY CITY""",Алматы,5,1,https://doctor.kz/doctors/850721781595833846
Балтабаева Бибикул Тулегенкызы,Врач УЗИ,,"Медицинский центр ""ЭСКУЛАП VITA""",Шымкент,0,0,https://doctor.kz/doctors/737274001693555038
Шеримбетова Алия Исаковна,Фтизиатр,,"Медицинский центр Эмирмед (г.Алматы, ул.Нусупбекова, 26/1)",Алматы,0,0,https://doctor.kz/doctors/927933161658222101
Азимов Шухрат Абдулхамитугли,Врач УЗИ,,"Медицинский центр ""DAUMED""",Шымкент,0,0,https://doctor.kz/doctors/866502851481693734
Шейнберг Аркадий Борисович,Ортопед детский • Травматолог • Хирург • Хирург детский • Хирург-ортопед,,"Педиатрический центр ""КАРУДО"" на Навои",Алматы,0,0,https://doctor.kz/doctors/834828111511251757
Голубенко Ирина Викторовна,Эндокринолог,,"Медицинский центр ""MED LAB ЭКСПРЕСС""",Алматы,0,0,https://doctor.kz/doctors/847386291499742300
Ташметов Эльярбек Розматжанович,Пластический хирург • Хирург,,"Клиника ""КРИСТИНА""",Караганда,0,0,https://doctor.kz/doctors/589409361642676775
Ивакина Марина Алексеевна,Дерматокосметолог • Дерматолог • Онколог,,Клиника Оксаны Малицкой,Алматы,0,0,https://doctor.kz/doctors/457687371696407824
Руденко Сергей Александрович,Врач КТ • Врач МРТ • Рентгенолог,,"Медицинский центр ""DAUMED""",Шымкент,0,0,https://doctor.kz/doctors/624959301482228781
Тургинбаева Айжан Шалабаевна,ЛОР/ Оториноларинголог • Сурдолог,,"ЛОР центр ""AI-MEDICUS""",Алматы,1,0,https://doctor.kz/doctors/892769101501050807
